node1,node2,node1_region,node2_region,socioeconomic_distance_pca
74,172,PUTERI WANGSA,KEMPAS,0.7515628182988967
74,114,PUTERI WANGSA,PUTERI WANGSA,0.0
74,170,PUTERI WANGSA,KEMPAS,0.7515628182988967
74,128,PUTERI WANGSA,PUTERI WANGSA,0.0
74,93,PUTERI WANGSA,PUTERI WANGSA,0.0
75,196,PUTERI WANGSA,SKUDAI,0.4986104297547547
75,130,PUTERI WANGSA,PUTERI WANGSA,0.0
76,103,PUTERI WANGSA,PUTERI WANGSA,0.0
76,88,PUTERI WANGSA,PUTERI WANGSA,0.0
76,121,PUTERI WANGSA,PUTERI WANGSA,0.0
77,95,PUTERI WANGSA,PUTERI WANGSA,0.0
77,104,PUTERI WANGSA,PUTERI WANGSA,0.0
77,86,PUTERI WANGSA,PUTERI WANGSA,0.0
77,108,PUTERI WANGSA,PUTERI WANGSA,0.0
78,85,PUTERI WANGSA,PUTERI WANGSA,0.0
78,116,PUTERI WANGSA,PUTERI WANGSA,0.0
78,90,PUTERI WANGSA,PUTERI WANGSA,0.0
79,100,PUTERI WANGSA,PUTERI WANGSA,0.0
79,119,PUTERI WANGSA,PUTERI WANGSA,0.0
79,122,PUTERI WANGSA,PUTERI WANGSA,0.0
80,101,PUTERI WANGSA,PUTERI WANGSA,0.0
80,262,PUTERI WANGSA,TIRAM,0.7557065225948408
80,241,PUTERI WANGSA,TIRAM,0.7557065225948408
81,91,PUTERI WANGSA,PUTERI WANGSA,0.0
82,100,PUTERI WANGSA,PUTERI WANGSA,0.0
82,98,PUTERI WANGSA,PUTERI WANGSA,0.0
82,102,PUTERI WANGSA,PUTERI WANGSA,0.0
82,141,PUTERI WANGSA,PUTERI WANGSA,0.0
83,115,PUTERI WANGSA,PUTERI WANGSA,0.0
83,131,PUTERI WANGSA,PUTERI WANGSA,0.0
83,106,PUTERI WANGSA,PUTERI WANGSA,0.0
83,109,PUTERI WANGSA,PUTERI WANGSA,0.0
83,137,PUTERI WANGSA,PUTERI WANGSA,0.0
83,142,PUTERI WANGSA,PUTERI WANGSA,0.0
84,107,PUTERI WANGSA,PUTERI WANGSA,0.0
84,96,PUTERI WANGSA,PUTERI WANGSA,0.0
84,138,PUTERI WANGSA,PUTERI WANGSA,0.0
85,110,PUTERI WANGSA,PUTERI WANGSA,0.0
85,91,PUTERI WANGSA,PUTERI WANGSA,0.0
86,108,PUTERI WANGSA,PUTERI WANGSA,0.0
86,133,PUTERI WANGSA,PUTERI WANGSA,0.0
86,95,PUTERI WANGSA,PUTERI WANGSA,0.0
87,109,PUTERI WANGSA,PUTERI WANGSA,0.0
87,240,PUTERI WANGSA,TIRAM,0.7557065225948408
87,262,PUTERI WANGSA,TIRAM,0.7557065225948408
87,132,PUTERI WANGSA,PUTERI WANGSA,0.0
87,241,PUTERI WANGSA,TIRAM,0.7557065225948408
87,275,PUTERI WANGSA,TIRAM,0.7557065225948408
88,121,PUTERI WANGSA,PUTERI WANGSA,0.0
89,113,PUTERI WANGSA,PUTERI WANGSA,0.0
89,141,PUTERI WANGSA,PUTERI WANGSA,0.0
89,136,PUTERI WANGSA,PUTERI WANGSA,0.0
90,116,PUTERI WANGSA,PUTERI WANGSA,0.0
90,118,PUTERI WANGSA,PUTERI WANGSA,0.0
90,119,PUTERI WANGSA,PUTERI WANGSA,0.0
91,110,PUTERI WANGSA,PUTERI WANGSA,0.0
92,134,PUTERI WANGSA,PUTERI WANGSA,0.0
92,123,PUTERI WANGSA,PUTERI WANGSA,0.0
92,132,PUTERI WANGSA,PUTERI WANGSA,0.0
93,112,PUTERI WANGSA,PUTERI WANGSA,0.0
93,128,PUTERI WANGSA,PUTERI WANGSA,0.0
93,114,PUTERI WANGSA,PUTERI WANGSA,0.0
94,126,PUTERI WANGSA,PUTERI WANGSA,0.0
94,124,PUTERI WANGSA,PUTERI WANGSA,0.0
95,104,PUTERI WANGSA,PUTERI WANGSA,0.0
95,107,PUTERI WANGSA,PUTERI WANGSA,0.0
95,124,PUTERI WANGSA,PUTERI WANGSA,0.0
95,139,PUTERI WANGSA,PUTERI WANGSA,0.0
96,107,PUTERI WANGSA,PUTERI WANGSA,0.0
96,138,PUTERI WANGSA,PUTERI WANGSA,0.0
96,124,PUTERI WANGSA,PUTERI WANGSA,0.0
97,101,PUTERI WANGSA,PUTERI WANGSA,0.0
98,105,PUTERI WANGSA,PUTERI WANGSA,0.0
98,100,PUTERI WANGSA,PUTERI WANGSA,0.0
99,242,PUTERI WANGSA,TIRAM,0.7557065225948408
99,276,PUTERI WANGSA,TIRAM,0.7557065225948408
99,246,PUTERI WANGSA,TIRAM,0.7557065225948408
100,125,PUTERI WANGSA,PUTERI WANGSA,0.0
100,133,PUTERI WANGSA,PUTERI WANGSA,0.0
100,105,PUTERI WANGSA,PUTERI WANGSA,0.0
100,102,PUTERI WANGSA,PUTERI WANGSA,0.0
101,242,PUTERI WANGSA,TIRAM,0.7557065225948408
101,262,PUTERI WANGSA,TIRAM,0.7557065225948408
102,141,PUTERI WANGSA,PUTERI WANGSA,0.0
103,246,PUTERI WANGSA,TIRAM,0.7557065225948408
104,125,PUTERI WANGSA,PUTERI WANGSA,0.0
105,121,PUTERI WANGSA,PUTERI WANGSA,0.0
105,125,PUTERI WANGSA,PUTERI WANGSA,0.0
105,273,PUTERI WANGSA,TIRAM,0.7557065225948408
106,136,PUTERI WANGSA,PUTERI WANGSA,0.0
106,109,PUTERI WANGSA,PUTERI WANGSA,0.0
108,133,PUTERI WANGSA,PUTERI WANGSA,0.0
108,125,PUTERI WANGSA,PUTERI WANGSA,0.0
109,136,PUTERI WANGSA,PUTERI WANGSA,0.0
109,132,PUTERI WANGSA,PUTERI WANGSA,0.0
109,123,PUTERI WANGSA,PUTERI WANGSA,0.0
109,142,PUTERI WANGSA,PUTERI WANGSA,0.0
110,182,PUTERI WANGSA,KEMPAS,0.7515628182988967
110,339,PUTERI WANGSA,LARKIN,0.6890264492555663
111,112,PUTERI WANGSA,PUTERI WANGSA,0.0
111,114,PUTERI WANGSA,PUTERI WANGSA,0.0
111,127,PUTERI WANGSA,PUTERI WANGSA,0.0
112,140,PUTERI WANGSA,PUTERI WANGSA,0.0
112,128,PUTERI WANGSA,PUTERI WANGSA,0.0
112,114,PUTERI WANGSA,PUTERI WANGSA,0.0
113,129,PUTERI WANGSA,PUTERI WANGSA,0.0
113,136,PUTERI WANGSA,PUTERI WANGSA,0.0
114,127,PUTERI WANGSA,PUTERI WANGSA,0.0
115,129,PUTERI WANGSA,PUTERI WANGSA,0.0
115,137,PUTERI WANGSA,PUTERI WANGSA,0.0
116,140,PUTERI WANGSA,PUTERI WANGSA,0.0
116,117,PUTERI WANGSA,PUTERI WANGSA,0.0
116,118,PUTERI WANGSA,PUTERI WANGSA,0.0
116,182,PUTERI WANGSA,KEMPAS,0.7515628182988967
116,183,PUTERI WANGSA,KEMPAS,0.7515628182988967
116,170,PUTERI WANGSA,KEMPAS,0.7515628182988967
117,140,PUTERI WANGSA,PUTERI WANGSA,0.0
117,118,PUTERI WANGSA,PUTERI WANGSA,0.0
117,138,PUTERI WANGSA,PUTERI WANGSA,0.0
118,119,PUTERI WANGSA,PUTERI WANGSA,0.0
121,273,PUTERI WANGSA,TIRAM,0.7557065225948408
123,132,PUTERI WANGSA,PUTERI WANGSA,0.0
123,142,PUTERI WANGSA,PUTERI WANGSA,0.0
124,126,PUTERI WANGSA,PUTERI WANGSA,0.0
124,139,PUTERI WANGSA,PUTERI WANGSA,0.0
125,133,PUTERI WANGSA,PUTERI WANGSA,0.0
126,273,PUTERI WANGSA,TIRAM,0.7557065225948408
126,139,PUTERI WANGSA,PUTERI WANGSA,0.0
127,140,PUTERI WANGSA,PUTERI WANGSA,0.0
128,140,PUTERI WANGSA,PUTERI WANGSA,0.0
128,170,PUTERI WANGSA,KEMPAS,0.7515628182988967
130,135,PUTERI WANGSA,PUTERI WANGSA,0.0
131,134,PUTERI WANGSA,PUTERI WANGSA,0.0
131,137,PUTERI WANGSA,PUTERI WANGSA,0.0
132,240,PUTERI WANGSA,TIRAM,0.7557065225948408
132,134,PUTERI WANGSA,PUTERI WANGSA,0.0
140,170,PUTERI WANGSA,KEMPAS,0.7515628182988967
143,361,STULANG,LARKIN,0.2602550992131513
143,353,STULANG,LARKIN,0.2602550992131513
143,162,STULANG,STULANG,0.0
143,150,STULANG,STULANG,0.0
143,152,STULANG,STULANG,0.0
144,163,STULANG,STULANG,0.0
144,149,STULANG,STULANG,0.0
144,161,STULANG,STULANG,0.0
144,146,STULANG,STULANG,0.0
144,153,STULANG,STULANG,0.0
145,155,STULANG,STULANG,0.0
145,148,STULANG,STULANG,0.0
