node1,node2,distance,distance_unit
39,92,0.18726703176835569,km
39,123,0.21802579099688538,km
39,142,0.03216057239398585,km
40,119,1.0148399040876657,km
40,42,1.6203743656002392,km
40,79,0.8128480034040989,km
40,107,1.18177848484522,km
40,95,1.2129651784676865,km
40,86,1.031195343249677,km
40,133,0.7061382736172397,km
40,60,0.7654611812433599,km
40,41,1.1554555525224446,km
40,122,0.7937015450168654,km
41,42,1.1832859670782883,km
41,138,1.0000873108675192,km
41,84,0.11460766629157086,km
41,107,0.2155767474748663,km
42,118,1.3714894170688092,km
42,117,0.18461889101996032,km
42,119,1.7521584171503701,km
42,138,0.7716921799512446,km
43,59,1.7692311798280216,km
43,120,0.2933696983833628,km
43,55,0.9102831930335353,km
43,45,2.1711054346324734,km
43,100,2.224193710792785,km
44,105,0.8924032726163891,km
44,125,0.1269956884546637,km
44,61,0.6109309389054989,km
44,104,1.0122857921266766,km
44,48,1.1568888732118845,km
45,129,0.9896575876900557,km
45,59,1.2115603275809173,km
45,113,0.5869993396216617,km
45,89,0.15507227156808168,km
45,141,0.2801359408710227,km
45,102,0.44103775713641713,km
45,100,0.5863413322129234,km
46,113,0.5917796167572424,km
46,136,0.086734564818053,km
46,106,0.14091450792797483,km
46,83,0.23287158610334258,km
47,90,0.3303900439773067,km
47,78,0.2522638802099878,km
47,119,1.0604708744483093,km
47,64,0.8997082221286181,km
47,85,0.9287970222205764,km
48,95,1.471948812257837,km
48,104,0.5555317834559232,km
48,139,0.14371255909164324,km
48,61,1.001335062730722,km
49,110,2.409734547321726,km
49,85,0.5280901595352535,km
49,78,0.740107902359503,km
49,116,0.16045766840743622,km
49,182,3.7372697789075335,km
50,91,1.2629026323420793,km
50,110,0.11768811554351145,km
50,339,1.1985718959796496,km
51,66,0.925896720505566,km
51,58,0.6846983422252769,km
51,80,0.4656079167612778,km
51,101,0.44774755327856386,km
51,97,0.10356247097021758,km
52,125,0.8748402388780525,km
52,104,0.2684578545010147,km
52,108,0.21760986353961168,km
52,77,0.2685608700182021,km
53,242,1.2612497976481005,km
53,101,1.2604152366078536,km
53,121,1.2684127353349355,km
53,58,1.197358529631012,km
53,103,1.5504394496972573,km
53,246,1.4144943705603232,km
53,76,1.5672637196207553,km
53,99,0.08980403883791219,km
53,97,1.2746530879591433,km
54,107,0.7271310073175824,km
54,96,1.5897043923502554,km
54,95,0.018792466098426774,km
54,124,1.8787448655418788,km
55,120,0.779121483590661,km
55,64,0.8573698809445132,km
55,79,0.9273979832654518,km
55,100,2.0923050353651553,km
55,65,0.6310169003346966,km
56,59,0.897670867204661,km
56,115,0.15126356407653824,km
56,131,0.6591668828161042,km
56,137,0.1257350004031517,km
57,130,1.5820554070789097,km
57,70,2.548096201424001,km
57,67,1.5079029907952086,km
57,96,0.05280749328734029,km
57,124,2.437897612549181,km
58,121,0.2674443817152481,km
58,66,1.4748170526193098,km
58,97,0.5938243501644446,km
59,115,0.7613474902408565,km
59,81,2.3848811060733697,km
59,129,0.4469297908420843,km
60,100,1.9793054919918731,km
60,133,0.5756433687941489,km
60,79,0.11234546110930282,km
60,122,0.07974104885121852,km
61,273,3.498674208158928,km
61,126,1.2480748630580374,km
61,105,1.0981185186877398,km
61,139,1.0492496063460683,km
62,69,1.1145766755150455,km
62,88,0.12001775908203868,km
62,68,1.037860756699335,km
62,76,0.38905824365053293,km
63,135,1.8316107763228324,km
63,73,2.483457021265106,km
63,71,2.086927563424752,km
63,117,0.8540038722693862,km
63,67,1.8296902941161144,km
63,138,0.22294287301326457,km
64,91,1.6761318048522929,km
64,85,1.2137957169451212,km
64,120,0.5896221279156176,km
64,119,1.1858395148142453,km
64,65,1.1624167691475975,km
65,119,0.1463293138844154,km
65,79,0.6151768249876068,km
66,121,1.7007087732768411,km
66,109,1.1171667302551895,km
66,136,1.2435973549107766,km
66,89,1.6841078574368933,km
66,141,1.6951389997342599,km
66,105,2.3317556218938593,km
66,98,1.8431565177329776,km
66,80,0.7744555984813405,km
66,87,0.7020594878415973,km
66,82,1.7792732875185189,km
66,241,0.7140601352985393,km
