node1,node2,node1_brand,node2_brand,ecc
83,106,KK Super Mart,7-Eleven,1.0
83,109,KK Super Mart,7-Eleven,0.42857142857142855
83,137,KK Super Mart,MyNews,1.0
83,142,KK Super Mart,CU,1.0
84,107,KK Super Mart,7-Eleven,1.0
84,96,KK Super Mart,7-Eleven,1.0
84,138,KK Super Mart,MyNews,1.0
85,110,KK Super Mart,7-Eleven,0.6
85,91,KK Super Mart,Family Mart,0.6
86,108,Family Mart,7-Eleven,0.75
86,133,Family Mart,MyNews,0.75
86,95,Family Mart,7-Eleven,0.75
87,109,Family Mart,7-Eleven,0.5
87,240,Family Mart,99 Speedmart,0.5
87,262,Family Mart,KK Super Mart,0.6666666666666666
87,132,Family Mart,MyNews,0.5
87,241,Family Mart,99 Speedmart,1.0
87,275,Family Mart,7-Eleven,1.0
88,121,Family Mart,7-Eleven,1.0
89,113,Family Mart,7-Eleven,0.75
89,141,Family Mart,CU,0.75
89,136,Family Mart,MyNews,0.75
90,116,Family Mart,7-Eleven,0.75
90,118,Family Mart,7-Eleven,0.75
90,119,Family Mart,7-Eleven,0.75
91,110,Family Mart,7-Eleven,0.6
92,134,Family Mart,MyNews,1.0
92,123,Family Mart,7-Eleven,1.0
92,132,Family Mart,MyNews,1.0
93,112,Family Mart,7-Eleven,1.0
93,128,Family Mart,7-Eleven,1.0
93,114,Family Mart,7-Eleven,1.0
94,126,7-Eleven,7-Eleven,1.0
94,124,7-Eleven,7-Eleven,1.0
95,104,7-Eleven,7-Eleven,0.6
95,107,7-Eleven,7-Eleven,0.6
95,124,7-Eleven,7-Eleven,0.42857142857142855
95,139,7-Eleven,MyNews,0.75
96,107,7-Eleven,7-Eleven,0.6
96,138,7-Eleven,MyNews,0.5
96,124,7-Eleven,7-Eleven,0.5
97,101,7-Eleven,7-Eleven,1.0
98,105,7-Eleven,7-Eleven,1.0
98,100,7-Eleven,7-Eleven,1.0
99,242,7-Eleven,99 Speedmart,1.0
99,276,7-Eleven,7-Eleven,1.0
99,246,7-Eleven,99 Speedmart,1.0
100,125,7-Eleven,7-Eleven,0.5
100,133,7-Eleven,MyNews,0.6
100,105,7-Eleven,7-Eleven,0.42857142857142855
100,102,7-Eleven,7-Eleven,1.0
101,242,7-Eleven,99 Speedmart,0.6
101,262,7-Eleven,KK Super Mart,0.6
102,141,7-Eleven,CU,1.0
103,246,7-Eleven,99 Speedmart,1.0
104,125,7-Eleven,7-Eleven,0.6
105,121,7-Eleven,7-Eleven,0.42857142857142855
105,125,7-Eleven,7-Eleven,0.5
105,273,7-Eleven,7-Eleven,0.42857142857142855
106,136,7-Eleven,MyNews,1.0
106,109,7-Eleven,7-Eleven,1.0
108,133,7-Eleven,MyNews,0.75
108,125,7-Eleven,7-Eleven,0.75
109,136,7-Eleven,MyNews,0.6
109,132,7-Eleven,MyNews,0.5
109,123,7-Eleven,7-Eleven,0.75
109,142,7-Eleven,CU,1.0
110,182,7-Eleven,7-Eleven,0.6
110,339,7-Eleven,99 Speedmart,0.6
111,112,7-Eleven,7-Eleven,1.0
111,114,7-Eleven,7-Eleven,1.0
111,127,7-Eleven,7-Eleven,1.0
112,140,7-Eleven,MyNews,0.6
112,128,7-Eleven,7-Eleven,0.75
112,114,7-Eleven,7-Eleven,0.6
113,129,7-Eleven,7-Eleven,0.75
113,136,7-Eleven,MyNews,0.6
114,127,7-Eleven,7-Eleven,0.6
115,129,7-Eleven,7-Eleven,0.75
115,137,7-Eleven,MyNews,1.0
116,140,7-Eleven,MyNews,0.42857142857142855
116,117,7-Eleven,7-Eleven,0.5
116,118,7-Eleven,7-Eleven,0.75
116,182,7-Eleven,7-Eleven,0.375
116,183,7-Eleven,7-Eleven,0.6
116,170,7-Eleven,99 Speedmart,0.375
117,140,7-Eleven,MyNews,0.5
117,118,7-Eleven,7-Eleven,0.75
117,138,7-Eleven,MyNews,0.5
118,119,7-Eleven,7-Eleven,0.75
121,273,7-Eleven,7-Eleven,0.42857142857142855
123,132,7-Eleven,MyNews,0.75
123,142,7-Eleven,CU,1.0
124,126,7-Eleven,7-Eleven,0.8
124,139,7-Eleven,MyNews,0.75
125,133,7-Eleven,MyNews,0.6
126,273,7-Eleven,7-Eleven,0.6
126,139,7-Eleven,MyNews,0.75
127,140,7-Eleven,MyNews,0.6
128,140,7-Eleven,MyNews,0.75
128,170,7-Eleven,99 Speedmart,0.75
130,135,MyNews,MyNews,1.0
131,134,MyNews,MyNews,0.6
131,137,MyNews,MyNews,1.0
132,240,MyNews,99 Speedmart,0.5
132,134,MyNews,MyNews,0.6
140,170,MyNews,99 Speedmart,0.42857142857142855
143,361,99 Speedmart,7-Eleven,0.75
143,353,99 Speedmart,KK Super Mart,0.6
143,162,99 Speedmart,7-Eleven,0.75
143,150,99 Speedmart,KK Super Mart,0.6
143,152,99 Speedmart,Family Mart,0.6
144,163,99 Speedmart,7-Eleven,0.75
144,149,99 Speedmart,KK Super Mart,0.75
144,161,99 Speedmart,7-Eleven,0.75
144,146,99 Speedmart,99 Speedmart,0.75
144,153,99 Speedmart,Family Mart,0.75
145,155,99 Speedmart,7-Eleven,1.0
145,148,99 Speedmart,KK Super Mart,1.0
145,146,99 Speedmart,99 Speedmart,1.0
145,166,99 Speedmart,MyNews,1.0
146,148,99 Speedmart,KK Super Mart,0.6
146,524,99 Speedmart,7-Eleven,0.75
146,156,99 Speedmart,7-Eleven,0.5
146,158,99 Speedmart,7-Eleven,0.6
146,163,99 Speedmart,7-Eleven,0.75
146,153,99 Speedmart,Family Mart,0.75
146,166,99 Speedmart,MyNews,0.5
147,167,99 Speedmart,MyNews,0.6
147,165,99 Speedmart,MyNews,0.75
147,352,99 Speedmart,KK Super Mart,0.6
147,164,99 Speedmart,7-Eleven,0.5
147,156,99 Speedmart,7-Eleven,0.5
147,157,99 Speedmart,7-Eleven,0.6
147,158,99 Speedmart,7-Eleven,0.6
148,155,KK Super Mart,7-Eleven,0.6
148,287,KK Super Mart,99 Speedmart,0.75
148,524,KK Super Mart,7-Eleven,0.75
148,295,KK Super Mart,99 Speedmart,0.6
149,358,KK Super Mart,Family Mart,0.6
149,347,KK Super Mart,99 Speedmart,0.5
149,163,KK Super Mart,7-Eleven,0.75
149,154,KK Super Mart,Family Mart,1.0
149,157,KK Super Mart,7-Eleven,0.6
149,161,KK Super Mart,7-Eleven,0.6
150,162,KK Super Mart,7-Eleven,0.75
150,161,KK Super Mart,7-Eleven,0.6
150,152,KK Super Mart,Family Mart,0.6
150,153,KK Super Mart,Family Mart,0.75
150,166,KK Super Mart,MyNews,0.6
151,160,KK Super Mart,7-Eleven,1.0
151,383,KK Super Mart,99 Speedmart,1.0
151,168,KK Super Mart,MyNews,0.6666666666666666
151,525,KK Super Mart,MyNews,0.6666666666666666
152,166,Family Mart,MyNews,0.5
152,169,Family Mart,CU,1.0
153,161,Family Mart,7-Eleven,0.75
153,166,Family Mart,MyNews,0.75
154,163,Family Mart,7-Eleven,1.0
154,157,Family Mart,7-Eleven,1.0
154,158,Family Mart,7-Eleven,1.0
155,287,7-Eleven,99 Speedmart,0.75
155,324,7-Eleven,7-Eleven,0.5
155,166,7-Eleven,MyNews,0.5
155,169,7-Eleven,CU,1.0
156,523,7-Eleven,7-Eleven,0.6
156,164,7-Eleven,7-Eleven,0.5
156,516,7-Eleven,99 Speedmart,1.0
156,524,7-Eleven,7-Eleven,0.75
156,158,7-Eleven,7-Eleven,0.6
157,352,7-Eleven,KK Super Mart,0.6
157,358,7-Eleven,Family Mart,0.6
157,158,7-Eleven,7-Eleven,0.6
158,163,7-Eleven,7-Eleven,0.75
159,160,7-Eleven,7-Eleven,0.6
159,164,7-Eleven,7-Eleven,0.6
159,165,7-Eleven,MyNews,0.75
159,403,7-Eleven,Family Mart,0.6
159,428,7-Eleven,MyNews,0.6
159,430,7-Eleven,MyNews,0.75
160,168,7-Eleven,MyNews,1.0
160,164,7-Eleven,7-Eleven,0.6
160,383,7-Eleven,99 Speedmart,0.6
160,403,7-Eleven,Family Mart,0.6
161,347,7-Eleven,99 Speedmart,0.6
161,162,7-Eleven,7-Eleven,0.75
162,347,7-Eleven,99 Speedmart,0.75
162,353,7-Eleven,KK Super Mart,0.75
164,523,7-Eleven,7-Eleven,0.6
164,168,7-Eleven,MyNews,1.0
164,165,7-Eleven,MyNews,0.75
165,167,MyNews,MyNews,0.75
165,428,MyNews,MyNews,0.75
166,169,MyNews,CU,1.0
167,352,MyNews,KK Super Mart,0.6
167,372,MyNews,CU,0.6
167,427,MyNews,MyNews,0.6
167,428,MyNews,MyNews,0.6
168,523,MyNews,7-Eleven,0.6666666666666666
170,183,99 Speedmart,7-Eleven,0.6
170,172,99 Speedmart,99 Speedmart,0.75
170,186,99 Speedmart,7-Eleven,0.75
170,171,99 Speedmart,99 Speedmart,0.75
170,177,99 Speedmart,99 Speedmart,0.5
170,174,99 Speedmart,99 Speedmart,0.75
171,191,99 Speedmart,7-Eleven,0.75
171,186,99 Speedmart,7-Eleven,0.75
171,177,99 Speedmart,99 Speedmart,0.75
171,173,99 Speedmart,99 Speedmart,0.75
172,225,99 Speedmart,7-Eleven,0.75
172,186,99 Speedmart,7-Eleven,0.75
172,188,99 Speedmart,7-Eleven,0.75
173,191,99 Speedmart,7-Eleven,0.5
173,187,99 Speedmart,7-Eleven,1.0
173,177,99 Speedmart,99 Speedmart,0.6666666666666666
173,185,99 Speedmart,7-Eleven,0.8
173,408,99 Speedmart,7-Eleven,0.6
173,192,99 Speedmart,MyNews,0.5
174,177,99 Speedmart,99 Speedmart,0.75
174,183,99 Speedmart,7-Eleven,0.75
174,190,99 Speedmart,7-Eleven,0.75
174,178,99 Speedmart,KK Super Mart,0.75
175,194,99 Speedmart,CU,0.75
175,377,99 Speedmart,99 Speedmart,0.5
175,176,99 Speedmart,99 Speedmart,0.75
175,178,99 Speedmart,KK Super Mart,0.5
175,185,99 Speedmart,7-Eleven,0.6
175,408,99 Speedmart,7-Eleven,0.6
175,374,99 Speedmart,99 Speedmart,0.6
176,194,99 Speedmart,CU,0.75
176,366,99 Speedmart,7-Eleven,0.75
176,355,99 Speedmart,Family Mart,0.75
176,178,99 Speedmart,KK Super Mart,0.75
177,178,99 Speedmart,KK Super Mart,0.5
177,187,99 Speedmart,7-Eleven,1.0
177,185,99 Speedmart,7-Eleven,0.8
178,355,KK Super Mart,Family Mart,0.5
178,190,KK Super Mart,7-Eleven,0.75
178,185,KK Super Mart,7-Eleven,0.6
179,376,KK Super Mart,99 Speedmart,0.6
179,398,KK Super Mart,KK Super Mart,0.6
179,184,KK Super Mart,7-Eleven,0.75
179,375,KK Super Mart,99 Speedmart,0.75
179,180,KK Super Mart,Family Mart,1.0
179,192,KK Super Mart,MyNews,0.6
180,184,Family Mart,7-Eleven,1.0
180,189,Family Mart,7-Eleven,1.0
180,192,Family Mart,MyNews,1.0
181,193,Family Mart,MyNews,1.0
181,377,Family Mart,99 Speedmart,1.0
181,194,Family Mart,CU,1.0
181,366,Family Mart,7-Eleven,1.0
182,183,7-Eleven,7-Eleven,0.6
182,363,7-Eleven,7-Eleven,0.6
182,360,7-Eleven,7-Eleven,0.42857142857142855
182,342,7-Eleven,99 Speedmart,0.5
182,339,7-Eleven,99 Speedmart,0.42857142857142855
182,340,7-Eleven,99 Speedmart,0.75
183,340,7-Eleven,99 Speedmart,0.75
183,190,7-Eleven,7-Eleven,0.75
184,191,7-Eleven,7-Eleven,0.75
184,398,7-Eleven,KK Super Mart,0.75
