node1,node2,node1_brand,node2_brand,brand_distance
53,121,99 Speedmart,7-Eleven,1.0
53,58,99 Speedmart,99 Speedmart,0.5
53,103,99 Speedmart,7-Eleven,1.0
53,246,99 Speedmart,99 Speedmart,0.5
53,76,99 Speedmart,KK Super Mart,1.0
53,99,99 Speedmart,7-Eleven,1.0
53,97,99 Speedmart,7-Eleven,1.0
54,107,99 Speedmart,7-Eleven,1.0
54,96,99 Speedmart,7-Eleven,1.0
54,95,99 Speedmart,7-Eleven,1.0
54,124,99 Speedmart,7-Eleven,1.0
55,120,99 Speedmart,7-Eleven,1.0
55,64,99 Speedmart,99 Speedmart,0.5
55,79,99 Speedmart,KK Super Mart,1.0
55,100,99 Speedmart,7-Eleven,1.0
55,65,99 Speedmart,99 Speedmart,0.5
56,59,99 Speedmart,99 Speedmart,0.5
56,115,99 Speedmart,7-Eleven,1.0
56,131,99 Speedmart,MyNews,1.0
56,137,99 Speedmart,MyNews,1.0
57,130,99 Speedmart,MyNews,1.0
57,70,99 Speedmart,99 Speedmart,0.5
57,67,99 Speedmart,99 Speedmart,0.5
57,96,99 Speedmart,7-Eleven,1.0
57,124,99 Speedmart,7-Eleven,1.0
58,121,99 Speedmart,7-Eleven,1.0
58,66,99 Speedmart,99 Speedmart,0.5
58,97,99 Speedmart,7-Eleven,1.0
59,115,99 Speedmart,7-Eleven,1.0
59,81,99 Speedmart,KK Super Mart,1.0
59,129,99 Speedmart,7-Eleven,1.0
60,100,99 Speedmart,7-Eleven,1.0
60,133,99 Speedmart,MyNews,1.0
60,79,99 Speedmart,KK Super Mart,1.0
60,122,99 Speedmart,7-Eleven,1.0
61,273,99 Speedmart,7-Eleven,1.0
61,126,99 Speedmart,7-Eleven,1.0
61,105,99 Speedmart,7-Eleven,1.0
61,139,99 Speedmart,MyNews,1.0
62,69,99 Speedmart,99 Speedmart,0.5
62,88,99 Speedmart,Family Mart,1.0
62,68,99 Speedmart,99 Speedmart,0.5
62,76,99 Speedmart,KK Super Mart,1.0
63,135,99 Speedmart,MyNews,1.0
63,73,99 Speedmart,99 Speedmart,0.5
63,71,99 Speedmart,99 Speedmart,0.5
63,117,99 Speedmart,7-Eleven,1.0
63,67,99 Speedmart,99 Speedmart,0.5
63,138,99 Speedmart,MyNews,1.0
64,91,99 Speedmart,Family Mart,1.0
64,85,99 Speedmart,KK Super Mart,1.0
64,120,99 Speedmart,7-Eleven,1.0
64,119,99 Speedmart,7-Eleven,1.0
64,65,99 Speedmart,99 Speedmart,0.5
65,119,99 Speedmart,7-Eleven,1.0
65,79,99 Speedmart,KK Super Mart,1.0
66,121,99 Speedmart,7-Eleven,1.0
66,109,99 Speedmart,7-Eleven,1.0
66,136,99 Speedmart,MyNews,1.0
66,89,99 Speedmart,Family Mart,1.0
66,141,99 Speedmart,CU,1.0
66,105,99 Speedmart,7-Eleven,1.0
66,98,99 Speedmart,7-Eleven,1.0
66,80,99 Speedmart,KK Super Mart,1.0
66,87,99 Speedmart,Family Mart,1.0
66,82,99 Speedmart,KK Super Mart,1.0
66,241,99 Speedmart,99 Speedmart,0.5
67,135,99 Speedmart,MyNews,1.0
67,130,99 Speedmart,MyNews,1.0
67,96,99 Speedmart,7-Eleven,1.0
67,138,99 Speedmart,MyNews,1.0
68,267,99 Speedmart,7-Eleven,1.0
68,246,99 Speedmart,99 Speedmart,0.5
68,103,99 Speedmart,7-Eleven,1.0
68,69,99 Speedmart,99 Speedmart,0.5
68,248,99 Speedmart,99 Speedmart,0.5
68,263,99 Speedmart,KK Super Mart,1.0
68,76,99 Speedmart,KK Super Mart,1.0
69,248,99 Speedmart,99 Speedmart,0.5
69,273,99 Speedmart,7-Eleven,1.0
69,88,99 Speedmart,Family Mart,1.0
69,121,99 Speedmart,7-Eleven,1.0
70,130,99 Speedmart,MyNews,1.0
70,273,99 Speedmart,7-Eleven,1.0
70,126,99 Speedmart,7-Eleven,1.0
70,94,99 Speedmart,7-Eleven,1.0
70,124,99 Speedmart,7-Eleven,1.0
71,140,99 Speedmart,MyNews,1.0
71,117,99 Speedmart,7-Eleven,1.0
71,127,99 Speedmart,7-Eleven,1.0
71,73,99 Speedmart,99 Speedmart,0.5
72,112,99 Speedmart,7-Eleven,1.0
72,140,99 Speedmart,MyNews,1.0
72,111,99 Speedmart,7-Eleven,1.0
72,127,99 Speedmart,7-Eleven,1.0
73,196,99 Speedmart,99 Speedmart,0.5
73,75,99 Speedmart,99 Speedmart,0.5
73,220,99 Speedmart,Family Mart,1.0
73,74,99 Speedmart,99 Speedmart,0.5
73,114,99 Speedmart,7-Eleven,1.0
73,130,99 Speedmart,MyNews,1.0
73,127,99 Speedmart,7-Eleven,1.0
73,135,99 Speedmart,MyNews,1.0
74,220,99 Speedmart,Family Mart,1.0
74,225,99 Speedmart,7-Eleven,1.0
74,172,99 Speedmart,99 Speedmart,0.5
74,114,99 Speedmart,7-Eleven,1.0
74,170,99 Speedmart,99 Speedmart,0.5
74,128,99 Speedmart,7-Eleven,1.0
74,93,99 Speedmart,Family Mart,1.0
75,196,99 Speedmart,99 Speedmart,0.5
75,130,99 Speedmart,MyNews,1.0
76,103,KK Super Mart,7-Eleven,1.0
76,88,KK Super Mart,Family Mart,1.0
76,121,KK Super Mart,7-Eleven,1.0
77,95,KK Super Mart,7-Eleven,1.0
77,104,KK Super Mart,7-Eleven,1.0
77,86,KK Super Mart,Family Mart,1.0
77,108,KK Super Mart,7-Eleven,1.0
78,85,KK Super Mart,KK Super Mart,0.5
78,116,KK Super Mart,7-Eleven,1.0
78,90,KK Super Mart,Family Mart,1.0
79,100,KK Super Mart,7-Eleven,1.0
79,119,KK Super Mart,7-Eleven,1.0
79,122,KK Super Mart,7-Eleven,1.0
80,101,KK Super Mart,7-Eleven,1.0
80,262,KK Super Mart,KK Super Mart,0.5
80,241,KK Super Mart,99 Speedmart,1.0
81,91,KK Super Mart,Family Mart,1.0
82,100,KK Super Mart,7-Eleven,1.0
82,98,KK Super Mart,7-Eleven,1.0
82,102,KK Super Mart,7-Eleven,1.0
82,141,KK Super Mart,CU,1.0
83,115,KK Super Mart,7-Eleven,1.0
83,131,KK Super Mart,MyNews,1.0
83,106,KK Super Mart,7-Eleven,1.0
83,109,KK Super Mart,7-Eleven,1.0
83,137,KK Super Mart,MyNews,1.0
83,142,KK Super Mart,CU,1.0
84,107,KK Super Mart,7-Eleven,1.0
84,96,KK Super Mart,7-Eleven,1.0
84,138,KK Super Mart,MyNews,1.0
85,110,KK Super Mart,7-Eleven,1.0
85,91,KK Super Mart,Family Mart,1.0
86,108,Family Mart,7-Eleven,1.0
86,133,Family Mart,MyNews,1.0
86,95,Family Mart,7-Eleven,1.0
87,109,Family Mart,7-Eleven,1.0
87,240,Family Mart,99 Speedmart,1.0
87,262,Family Mart,KK Super Mart,1.0
87,132,Family Mart,MyNews,1.0
87,241,Family Mart,99 Speedmart,1.0
87,275,Family Mart,7-Eleven,1.0
88,121,Family Mart,7-Eleven,1.0
89,113,Family Mart,7-Eleven,1.0
89,141,Family Mart,CU,1.0
89,136,Family Mart,MyNews,1.0
90,116,Family Mart,7-Eleven,1.0
90,118,Family Mart,7-Eleven,1.0
90,119,Family Mart,7-Eleven,1.0
91,110,Family Mart,7-Eleven,1.0
92,134,Family Mart,MyNews,1.0
92,123,Family Mart,7-Eleven,1.0
92,132,Family Mart,MyNews,1.0
93,112,Family Mart,7-Eleven,1.0
93,128,Family Mart,7-Eleven,1.0
93,114,Family Mart,7-Eleven,1.0
94,126,7-Eleven,7-Eleven,0.5
94,124,7-Eleven,7-Eleven,0.5
95,104,7-Eleven,7-Eleven,0.5
95,107,7-Eleven,7-Eleven,0.5
95,124,7-Eleven,7-Eleven,0.5
95,139,7-Eleven,MyNews,1.0
96,107,7-Eleven,7-Eleven,0.5
96,138,7-Eleven,MyNews,1.0
96,124,7-Eleven,7-Eleven,0.5
97,101,7-Eleven,7-Eleven,0.5
98,105,7-Eleven,7-Eleven,0.5
98,100,7-Eleven,7-Eleven,0.5
99,242,7-Eleven,99 Speedmart,1.0
99,276,7-Eleven,7-Eleven,0.5
99,246,7-Eleven,99 Speedmart,1.0
100,125,7-Eleven,7-Eleven,0.5
100,133,7-Eleven,MyNews,1.0
100,105,7-Eleven,7-Eleven,0.5
100,102,7-Eleven,7-Eleven,0.5
101,242,7-Eleven,99 Speedmart,1.0
101,262,7-Eleven,KK Super Mart,1.0
102,141,7-Eleven,CU,1.0
103,246,7-Eleven,99 Speedmart,1.0
104,125,7-Eleven,7-Eleven,0.5
105,121,7-Eleven,7-Eleven,0.5
105,125,7-Eleven,7-Eleven,0.5
105,273,7-Eleven,7-Eleven,0.5
106,136,7-Eleven,MyNews,1.0
106,109,7-Eleven,7-Eleven,0.5
108,133,7-Eleven,MyNews,1.0
108,125,7-Eleven,7-Eleven,0.5
109,136,7-Eleven,MyNews,1.0
109,132,7-Eleven,MyNews,1.0
109,123,7-Eleven,7-Eleven,0.5
109,142,7-Eleven,CU,1.0
110,182,7-Eleven,7-Eleven,0.5
110,339,7-Eleven,99 Speedmart,1.0
111,112,7-Eleven,7-Eleven,0.5
111,114,7-Eleven,7-Eleven,0.5
