node1,node2,d_geo,d_geo_norm,d_brand,d_socio_pca,d_socio_norm,ecc,combined_weight,formula
9,20,2.5844243661239936,0.4354594442225596,1.0,0.0,0.0,0.6,0.7007783608559436,(0.69*0.435 + 0.12*1.000 + 0.19*0.000) / 0.600
9,152,2.2935578423136147,0.3864502426140113,1.0,0.7192649599808704,0.6440761535795692,0.5,1.0180502731675718,(0.69*0.386 + 0.12*1.000 + 0.19*0.644) / 0.500
10,243,1.0190093412702121,0.17169674114805722,0.5,0.32922015070119914,0.29480491910818785,0.5,0.46896737204543026,(0.69*0.172 + 0.12*0.500 + 0.19*0.295) / 0.500
10,21,0.4506918563871648,0.0759387768783219,1.0,0.0,0.0,0.6,0.2873295934100702,(0.69*0.076 + 0.12*1.000 + 0.19*0.000) / 0.600
10,25,0.3167995566925725,0.05337875648270461,1.0,0.0,0.0,0.75,0.20910845596408822,(0.69*0.053 + 0.12*1.000 + 0.19*0.000) / 0.750
10,261,0.9803938861446464,0.16519027694357397,1.0,0.32922015070119914,0.29480491910818785,0.6,0.4833237095360362,(0.69*0.165 + 0.12*1.000 + 0.19*0.295) / 0.600
10,240,1.2082977876971297,0.20359066799662595,0.5,0.32922015070119914,0.29480491910818785,0.5,0.5129809910964551,(0.69*0.204 + 0.12*0.500 + 0.19*0.295) / 0.500
10,134,1.0295085231352965,0.17346578804286655,1.0,0.46193516057016215,0.41364648353105316,0.6,0.5304737093674633,(0.69*0.173 + 0.12*1.000 + 0.19*0.414) / 0.600
10,132,1.2217457535681369,0.20585656667057142,1.0,0.46193516057016215,0.41364648353105316,0.5,0.6812677257471887,(0.69*0.206 + 0.12*1.000 + 0.19*0.414) / 0.500
11,24,1.012792557612695,0.1706492517373246,1.0,0.0,0.0,0.75,0.3169973115983386,(0.69*0.171 + 0.12*1.000 + 0.19*0.000) / 0.750
11,12,0.7981180061718036,0.13447792396139197,0.5,0.0,0.0,0.75,0.20371969004448057,(0.69*0.134 + 0.12*0.500 + 0.19*0.000) / 0.750
11,324,2.963540247983946,0.499338114217563,1.0,0.6275575689546616,0.5619554512607061,0.75,0.7617531127328702,(0.69*0.499 + 0.12*1.000 + 0.19*0.562) / 0.750
11,29,0.03003761637195933,0.005061151683351804,1.0,0.0,0.0,0.75,0.16465625954868365,(0.69*0.005 + 0.12*1.000 + 0.19*0.000) / 0.750
12,155,1.9707310064294612,0.3320559270453674,1.0,0.7192649599808704,0.6440761535795692,0.5,0.9429861176828432,(0.69*0.332 + 0.12*1.000 + 0.19*0.644) / 0.500
12,324,3.115430516123445,0.5249306804438437,1.0,0.6275575689546616,0.5619554512607061,0.5,1.1779474104915726,(0.69*0.525 + 0.12*1.000 + 0.19*0.562) / 0.500
12,20,0.9260933139678206,0.15604096799453696,1.0,0.0,0.0,0.6,0.3794471131937175,(0.69*0.156 + 0.12*1.000 + 0.19*0.000) / 0.600
12,152,2.1555230731090744,0.36319224185024873,1.0,0.7192649599808704,0.6440761535795692,0.5,0.9859542321135795,(0.69*0.363 + 0.12*1.000 + 0.19*0.644) / 0.500
12,169,2.149796941924681,0.3622274243319706,1.0,0.7192649599808704,0.6440761535795692,1.0,0.4923113919691778,(0.69*0.362 + 0.12*1.000 + 0.19*0.644) / 1.000
13,289,3.5763630206553385,0.6025949428918093,0.5,0.6275575689546616,0.5619554512607061,0.6,0.9709367438914709,(0.69*0.603 + 0.12*0.500 + 0.19*0.562) / 0.600
