node_id,store_id,brand,region,longitude,latitude,community_id,is_generator,is_boundary_node
195,87,99 Speedmart,SKUDAI,103.6829399,1.5423005,8,False,False
196,100,99 Speedmart,SKUDAI,103.6741169,1.5533116,5,False,True
197,131,99 Speedmart,SKUDAI,103.6631286,1.5331578,5,False,False
198,132,99 Speedmart,SKUDAI,103.6537733,1.5452813,5,False,False
199,133,99 Speedmart,SKUDAI,103.6669656,1.5414764,5,False,False
200,134,99 Speedmart,SKUDAI,103.6440963,1.5441572,5,False,False
201,135,99 Speedmart,SKUDAI,103.6407236,1.5088882,5,False,True
202,136,99 Speedmart,SKUDAI,103.6520124,1.5088674,5,False,True
203,137,99 Speedmart,SKUDAI,103.6558635,1.512758,7,False,True
204,138,99 Speedmart,SKUDAI,103.6661855,1.5242715,5,False,True
205,139,99 Speedmart,SKUDAI,103.6639913,1.5233807,5,False,True
206,140,99 Speedmart,SKUDAI,103.6500431,1.5092038,5,False,True
207,141,99 Speedmart,SKUDAI,103.6410043,1.5191746,5,False,False
208,143,99 Speedmart,SKUDAI,103.659893,1.5189567,7,False,True
209,144,99 Speedmart,SKUDAI,103.6379394,1.5083043,5,False,False
210,149,99 Speedmart,SKUDAI,103.6403106,1.4909357,7,False,True
211,151,99 Speedmart,SKUDAI,103.6353714,1.493629,5,False,True
212,176,99 Speedmart,SKUDAI,103.6264145,1.4923096,5,False,True
213,242,KK Super Mart,SKUDAI,103.6545459,1.5445875,5,False,False
214,243,KK Super Mart,SKUDAI,103.6518669,1.5093912,5,False,False
215,244,KK Super Mart,SKUDAI,103.6670577,1.5162351,7,False,True
216,245,KK Super Mart,SKUDAI,103.655572,1.5117555,7,False,True
217,247,KK Super Mart,SKUDAI,103.6596768,1.5216916,5,False,True
218,259,KK Super Mart,SKUDAI,103.6388387,1.5081065,5,False,False
219,260,KK Super Mart,SKUDAI,103.6319177,1.5146394,5,False,False
220,290,Family Mart,SKUDAI,103.683737,1.5457036,8,False,True
221,304,Family Mart,SKUDAI,103.6782221,1.5234954,8,False,True
222,306,Family Mart,SKUDAI,103.653765,1.513903,5,False,True
223,315,Family Mart,SKUDAI,103.6318615,1.5145819,5,False,False
224,400,7-Eleven,SKUDAI,103.6679978,1.5157646,7,False,False
225,403,7-Eleven,SKUDAI,103.6841729,1.5402193,8,False,True
226,413,7-Eleven,SKUDAI,103.6658821,1.5319055,5,False,True
227,415,7-Eleven,SKUDAI,103.6610447,1.5386964,5,False,False
228,419,7-Eleven,SKUDAI,103.6541455,1.5139459,5,False,True
