node1,node2,community1,community2,distance,weight,similarity,brand_similarity,node1_brand,node2_brand,node1_x,node1_y,node2_x,node2_y
156,516,4,2,0.2621740656195401,0.2621740656195401,3.674119346102046,1.0,7-Eleven,99 Speedmart,103.774611,1.4787306,103.7813449,1.4700338
164,523,4,2,0.34999066329674167,0.34999066329674167,2.777849822109681,1.0,7-Eleven,7-Eleven,103.7718486,1.4629294,103.7812028,1.469798
168,523,4,2,0.48637214856330246,0.48637214856330246,2.0146174657349247,1.0,MyNews,7-Eleven,103.7694567,1.4592273,103.7812028,1.469798
170,183,8,4,0.7823846772075183,0.7823846772075183,1.2620132982936383,1.0,99 Speedmart,7-Eleven,103.7102226,1.5364626,103.7217552,1.5120146
170,177,8,4,0.7510317838572528,0.7510317838572528,1.314005566142781,1.0,99 Speedmart,99 Speedmart,103.7102226,1.5364626,103.7011991,1.5137843
170,174,8,4,0.5389325523803858,0.5389325523803858,1.821717432612822,1.0,99 Speedmart,99 Speedmart,103.7102226,1.5364626,103.718204,1.511061
171,177,8,4,0.30503179108090234,0.30503179108090234,3.1742828130739134,1.0,99 Speedmart,99 Speedmart,103.6963687,1.5259138,103.7011991,1.5137843
173,187,8,4,0.2845873190530427,0.2845873190530427,3.3945792480630925,1.0,99 Speedmart,7-Eleven,103.6889222,1.5174938,103.7010606,1.5136399
173,177,8,4,0.3386165437640711,0.3386165437640711,2.8684811948475906,1.0,99 Speedmart,99 Speedmart,103.6889222,1.5174938,103.7011991,1.5137843
173,185,8,4,0.35480197823438375,0.35480197823438375,2.741213205147435,1.0,99 Speedmart,7-Eleven,103.6889222,1.5174938,103.7008886,1.5133069
173,408,8,7,0.7397104216043785,0.7397104216043785,1.3338483382157105,1.0,99 Speedmart,7-Eleven,103.6889222,1.5174938,103.6880548,1.5071782
173,192,8,7,0.3235366546304096,0.3235366546304096,2.998171223813752,1.0,99 Speedmart,MyNews,103.6889222,1.5174938,103.6865797,1.5152677
175,176,7,4,0.2409885319570825,0.2409885319570825,3.9842457828750275,1.0,99 Speedmart,99 Speedmart,103.6995833,1.5055,103.7084525,1.5025634
175,178,7,4,0.46781819893571064,0.46781819893571064,2.092846195953595,1.0,99 Speedmart,KK Super Mart,103.6995833,1.5055,103.7082198,1.5037389
175,185,7,4,0.37054081116194654,0.37054081116194654,2.6278390403031713,1.0,99 Speedmart,7-Eleven,103.6995833,1.5055,103.7008886,1.5133069
176,194,4,7,0.2058247897107246,0.2058247897107246,4.633388042867203,1.0,99 Speedmart,CU,103.7084525,1.5025634,103.7082988,1.4999093
181,366,7,4,0.24346441605449964,0.24346441605449964,3.945326983433371,1.0,Family Mart,7-Eleven,103.7054151,1.4954277,103.7102723,1.4990032
184,191,7,8,0.13893535738696344,0.13893535738696344,6.714322357999938,1.0,7-Eleven,7-Eleven,103.6851193,1.516239,103.6880049,1.5180747
185,408,4,7,0.7230088274051026,0.7230088274051026,1.364240050887331,1.0,7-Eleven,7-Eleven,103.7008886,1.5133069,103.6880548,1.5071782
189,191,7,8,0.10302620175743873,0.10302620175743873,8.847506015871101,1.0,7-Eleven,7-Eleven,103.6857437,1.5156318,103.6880049,1.5180747
191,398,8,7,0.7102537038037645,0.7102537038037645,1.3883996635058655,1.0,7-Eleven,KK Super Mart,103.6880049,1.5180747,103.67916,1.5196715
191,192,8,7,0.321388552120632,0.321388552120632,3.0176057489034207,1.0,7-Eleven,MyNews,103.6880049,1.5180747,103.6865797,1.5152677
193,366,7,4,0.32562085167710664,0.32562085167710664,2.979552655929965,1.0,MyNews,7-Eleven,103.7057484,1.4949273,103.7102723,1.4990032
193,343,7,4,0.34682107715657534,0.34682107715657534,2.8025250301040754,1.0,MyNews,99 Speedmart,103.7057484,1.4949273,103.7116349,1.4905769
