number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_R,user_attrs_R,user_attrs_alpha,user_attrs_beta,user_attrs_community_distinction,user_attrs_gamma,user_attrs_ifr,user_attrs_inequality,user_attrs_modularity,user_attrs_n_comm,system_attrs_NSGAIISampler:generation,state
46,0.7000517071504341,0.7585027451224271,0.15122749206089645,0.9511395938402288,2025-11-21 04:54:33.122701,2025-11-21 04:54:33.472548,0 days 00:00:00.349847,4.772966298938815,4.772966298938815,0.3082598181040594,0.27250921310008014,0.15122749206089645,0.4192309687958603,0.9511395938402288,0.2414972548775729,0.7000517071504341,5,0,COMPLETE
47,0.4403349036773063,0.4502152265278866,0.1036924389519784,0.9825768040126781,2025-11-21 04:54:33.473543,2025-11-21 04:54:33.806302,0 days 00:00:00.332759,6.960714222367013,6.960714222367013,0.47830690416385624,0.12570051069007096,0.1036924389519784,0.3959925851460727,0.9825768040126781,0.5497847734721134,0.4403349036773063,3,0,COMPLETE
48,0.6932700193400078,0.7750058030919222,0.16157598198067585,0.9317267980449385,2025-11-21 04:54:33.807405,2025-11-21 04:54:34.148390,0 days 00:00:00.340985,7.2404579331044365,7.2404579331044365,0.14643041866974152,0.6829699230103916,0.16157598198067585,0.17059965831986684,0.9317267980449385,0.22499419690807776,0.6932700193400078,5,0,COMPLETE
49,0.6985403980924623,0.7368379012533994,0.15441063812009193,0.9584641860807762,2025-11-21 04:54:34.149391,2025-11-21 04:54:34.495685,0 days 00:00:00.346294,3.4409717830180337,3.4409717830180337,0.22258262016655855,0.16321101728307552,0.15441063812009193,0.6142063625503659,0.9584641860807762,0.26316209874660057,0.6985403980924623,5,0,COMPLETE
50,0.4420703324122057,0.4732193364009858,0.11118087230819944,0.9688322063670662,2025-11-21 04:54:34.496813,2025-11-21 04:54:34.856845,0 days 00:00:00.360032,11.680638591527865,11.680638591527865,0.5979807960861455,0.3002960301315666,0.11118087230819944,0.10172317378228782,0.9688322063670662,0.5267806635990142,0.4420703324122057,3,1,COMPLETE
51,0.4754384602462256,0.0,0.0,0.0,2025-11-21 04:54:34.857843,2025-11-21 04:54:35.193893,0 days 00:00:00.336050,9.638894645291703,9.638894645291703,0.2705834234350809,0.11372007686496492,0.0,0.6156964996999541,0.0,1.0,0.4754384602462256,2,1,COMPLETE
52,0.5348455226131872,0.6323712982089862,0.05733304199458906,0.9577860409383012,2025-11-21 04:54:35.194879,2025-11-21 04:54:35.535910,0 days 00:00:00.341031,11.364738886423986,11.364738886423986,0.14969631830777544,0.49808243271443764,0.05733304199458906,0.35222124897778695,0.9577860409383012,0.3676287017910138,0.5348455226131872,3,1,COMPLETE
53,1.5543122344752192e-15,0.0,0.0,0.0,2025-11-21 04:54:35.536895,2025-11-21 04:54:35.885761,0 days 00:00:00.348866,10.895687179490313,10.895687179490313,0.3006133461035024,0.12424123603079903,0.0,0.5751454178656985,0.0,1.0,1.5543122344752192e-15,1,1,COMPLETE
54,0.4772633652614341,0.0,0.0,0.0,2025-11-21 04:54:35.885761,2025-11-21 04:54:36.234103,0 days 00:00:00.348342,7.777949777516394,7.777949777516394,0.12476074286219481,0.22007605628753096,0.0,0.6551632008502742,0.0,1.0,0.4772633652614341,2,1,COMPLETE
55,0.5375622653381673,0.6415101930812837,0.04927349128634664,0.9548719807430684,2025-11-21 04:54:36.235103,2025-11-21 04:54:36.577996,0 days 00:00:00.342893,11.179679467742726,11.179679467742726,0.10016509444605295,0.491459034588157,0.04927349128634664,0.40837587096579,0.9548719807430684,0.3584898069187163,0.5375622653381673,3,1,COMPLETE
